sl_no,state_ut,confirmed_cases,active_cases,recovered_cases,death_cases
2,Andaman and Nicobar Islands,3712,166,3494,52
1,Andhra Pradesh,646530,70357,570667,5506
3,Arunachal Pradesh,8133,2216,5903,14
4,Assam,163491,30182,132712,597
5,Bihar,172854,12958,159022,874
6,Chandigarh,10726,2537,8049,140
7,Chhattisgarh,93351,35850,56773,728
8,Dadra and Nagar Haveli and Daman and Diu,2962,205,2755,2
10,Delhi,256789,30836,220866,5087
11,Goa,29879,5646,23857,376
12,Gujarat,127379,16438,107574,3367
13,Haryana,116856,19276,96347,1233
14,Himachal Pradesh,13049,3950,8959,140
15,Jammu and Kashmir,67510,19918,46530,1062
16,Jharkhand,75089,12882,61559,648
17,Karnataka,540847,94671,437910,8266
18,Kerala,148132,42858,104682,592
19,Ladakh,3933,1038,2844,51
20,Lakshadweep,0,0,0,0
21,Madhya Pradesh,113057,22812,88168,2077
22,Maharashtra,1263799,273883,956030,33886
23,Manipur,9376,2206,7108,62
24,Meghalaya,4961,2060,2859,42
25,Mizoram,1713,618,1095,0
26,Nagaland,5671,1119,4536,16
27,Odisha,192548,34547,157265,736
28,Puducherry,24227,4853,18893,481
29,Punjab,103464,21230,79244,2990
30,Rajasthan,120739,18992,100365,1382
31,Sikkim,2628,575,2023,30
32,Tamil Nadu,557999,46249,502740,9010
34,Telengana,179246,30037,148139,1070
33,Tripura,23789,6551,16978,260
35,Uttarakhand,43720,11867,31324,529
36,Uttar Pradesh,369686,61698,302689,5299
37,West Bengal,234673,25101,205028,4544
